Preset Game 0
0 10 AGILE
1 9 FUGUE
2 6 SALE
3 8 OUF
4 8 RENNE
5 13 JOUER
6 8 AIDES
7 5 LIN
8 5 MER
9 7 AGILES
10 3 OU
11 3 TOI
12 28 JOUERAI
13 6 ROI
14 12 CHAT
15 16 EPICES
16 24 TEK
17 14 DENSES
17 3 ME
18 19 VEUVE
19 10 MERE
20 5 MENT
21 7 FOUR
22 15 JOUERAIT
23 33 TAXE
24 9 MERCI
25 9 DE
26 21 CAP
27 14 TAXEE
28 6 ES
29 4 LE
30 3 LE
31 2 AN
32 2 AI
32 2 SA
33 2 SA
34 5 SAC
35 4 PI
36 4 SALI
37 5 DE
38 4 TRI
39 8 TRIO
39 10 OH
40 3 SU
41 8 SACRA
42 7 PIGE

