IP 192.168.1.91
Preset Game 0
0 8 LUGE
1 13 FAILLE
2 5 ANSE
3 5 UNE
3 4 NE
3 2 AN
4 10 RUINE
4 6 ANE
4 2 UN
5 33 JOUR
6 26 SKIA
7 12 JOIE
8 9 DORMI
8 2 SI
9 16 ATHEES
10 2 SA
10 8 ARES
11 23 WONS
12 1 AS
12 20 PIEDS
13 16 SAUVE
14 27 VENTES
15 20 FEMME
16 6 CRU
17 5 FA
17 23 TAXA
18 24 PETITE
19 15 BLE
20 7 DOSE
21 45 NAGEZ
22 20 CAILLE
22 2 EN
23 5 PAR
24 26 ROQUER
25 22 YEN
26 10 BAT
27 4 TOT
28 5 HE

