IP 192.168.1.91
Preset Game 1
0 14 REVE
1 8 CADRE
2 4 CE
2 5 OUIE
3 26 MOYEN
3 3 EN
4 4 MUA
4 3 MA
5 19 JOUR
6 16 ATHEE
7 36 AMADOUEZ
8 18 LARMES
9 2 ES
9 12 SINGE
10 28 JOURNEE
11 18 BLONDE
11 9 JE
12 10 BATTRE
13 2 SI
13 9 ATHEES
14 6 CELA
15 8 CLE
16 7 DANS
17 20 FIXE
18 32 FIXES
18 22 SKI
19 10 BAR
20 5 ESSE
21 14 VIGNES
22 5 VE
22 27 FAITE
23 2 LE
23 9 LOUP
24 14 TOQUER
24 2 RA
25 2 SE
25 27 ETRIPA
26 5 IF
27 10 THE
28 6 LU
